substance_1,substance_2,x_1,x_2,T,gamma_1,gamma_2
hexane,ethanol,0.6,0.4,310,1.13497,4.63939
hexane,ethanol,0.8,0.2,310,1.13491,4.64062
hexane,ethanol,1,0,310,1,23.8488
hexane,ethanol,0,1,315,7.46471,1
hexane,ethanol,0.2,0.8,315,3.79283,1.07669
hexane,ethanol,0.4,0.6,315,2.29596,1.33527
hexane,ethanol,0.6,0.4,315,1.16474,4.03761
hexane,ethanol,0.8,0.2,315,1.16467,4.0386
hexane,ethanol,1,0,315,1,22.465
ethanol,hexane,0,1,305,25.3703,1
ethanol,hexane,0.2,0.8,305,5.28688,1.11242
ethanol,hexane,0.4,0.6,305,5.28551,1.11247
ethanol,hexane,0.6,0.4,305,1.33786,2.32881
ethanol,hexane,0.8,0.2,305,1.07724,3.85989
ethanol,hexane,1,0,305,1,7.6333
ethanol,hexane,0,1,310,23.8488,1
ethanol,hexane,0.2,0.8,310,4.64062,1.13491
ethanol,hexane,0.4,0.6,310,4.63939,1.13497
ethanol,hexane,0.6,0.4,310,1.33657,2.31236
ethanol,hexane,0.8,0.2,310,1.07696,3.8263
ethanol,hexane,1,0,310,1,7.54864
ethanol,hexane,0,1,315,22.465,1
ethanol,hexane,0.2,0.8,315,4.0386,1.16467
ethanol,hexane,0.4,0.6,315,4.03761,1.16474
ethanol,hexane,0.6,0.4,315,1.33527,2.29596
ethanol,hexane,0.8,0.2,315,1.07669,3.79283
ethanol,hexane,1,0,315,1,7.46471
